Item,Price,Date
Sweetcorn Riblets 650g,59.99,2020-08-26
Plant Powered Protein Bratwurst Sausages 200g,39.99,2020-08-26
"Mushroom, Red Pepper & Fresh Herb Kiev 2Pk",59.99,2020-08-26
Fresh Fennel Min. 400g,14.99,2020-08-26
Organic Blueberries 180g,39.99,2020-08-26
Hand Shelled Fresh Peas 200g,49.99,2020-08-26
Roasted Vegetables & Pesto 400g,42.00,2020-08-26
Washed Rainbow Slaw 300g,19.99,2020-08-26
Prawn & Avo Pasta Salad 270g,45.99,2020-08-26
Leeks 300g,29.99,2020-08-26
Bacon Flavoured Croutons 100g,21.99,2020-08-26
Granny Smith Apples 4Pk,20.99,2020-08-26
Plant Powered Protein Smoked Sausage 200g,39.99,2020-08-26
Fresh Herb Salad 225g,32.99,2020-08-26
Royal Gala Apples 1.5Kg,28.99,2020-08-26
Creamy Spinach Potato Bake 800g,62.99,2020-08-26
Organic Baby Cabbage 2Pk,19.99,2020-08-26
Cauliflower & Broccoli with Béchamel Sauce 250g,32.00,2020-08-26
